ConclDir;ConclQ;breaktype;code;correctness;datetime;givenanswer;givenanswertext;nouns;ordering;ordertext;p1;p2;sequence;syllog;time;validConclusions;vpid;cid
AC;I;calculations;QKAHZX;0;2016-07-05T06:33:11-04:00;2;2: Some therapists are skaters;therapists,climbers,skaters;7;Oq,Iq,Aq,Eq;Premise 1: Some climbers are therapists;Premise 2: Some climbers are not skaters;37;IO4;7771;NVC;143;QKAHZX
CA;I;images;WPNNCK;1;2016-07-05T06:33:11-04:00;8;8: Some cooks are mayors;mayors,swimmers,cooks;7;Oq,Iq,Aq,Eq;Premise 1: Some swimmers are mayors;Premise 2: All swimmers are cooks;3;IA4;17300;Iac,Ica;159;WPNNCK
CA;O;calculations;XAFJAH;0;2016-07-05T05:33:09-05:00;7;7: Some actors are not drillers;drillers,nurses,actors;6;Oq,Iq,Eq,Aq;Premise 1: Some drillers are not nurses;Premise 2: Some nurses are actors;36;OI1;11230;NVC;142;XAFJAH
NVC;NVC;default;BABSBC;0;2016-07-05T06:33:23-04:00;-1;Space: No conclusion is possible;miners,skaters,poets;4;Iq,Oq,Aq,Eq;Premise 1: All skaters are miners;Premise 2: Some skaters are poets;35;AI4;17839;Iac,Ica;148;BABSBC
AC;E;images;XRURAU;0;2016-07-05T05:33:19-05:00;1;1: No miners are poets;miners,skaters,poets;3;Eq,Oq,Iq,Aq;Premise 1: All skaters are miners;Premise 2: No poets are skaters;33;AE2;4382;Oac;155;XRURAU
AC;E;images;FMZJTZ;0;2016-07-05T15:33:18+05:00;4;4: No designers are architects;designers,architects,trainers;4;Iq,Oq,Aq,Eq;Premise 1: No designers are architects;NA;1;E_1;35458;NVC;156;FMZJTZ
AC;I;images;EMBMUO;0;2016-07-05T06:33:21-04:00;2;2: Some soldiers are editors;soldiers,florists,editors;0;Aq,Iq,Oq,Eq;Premise 1: No florists are soldiers;Premise 2: No editors are florists;33;EE2;14916;NVC;152;EMBMUO
NVC;NVC;images;XRURAU;0;2016-07-05T05:33:26-05:00;-1;Space: No conclusion is possible;tailors,singers,pilots;3;Eq,Oq,Iq,Aq;Premise 1: Some singers are tailors;Premise 2: No singers are pilots;34;IE4;4482;Oac;155;XRURAU
AC;E;calculations;QKAHZX;1;2016-07-05T06:33:24-04:00;4;4: No barbers are investors;barbers,jugglers,investors;7;Oq,Iq,Aq,Eq;Premise 1: All barbers are jugglers;Premise 2: No jugglers are investors;38;AE1;11137;Eac,Eca,Oac,Oca;143;QKAHZX
CA;I;images;EMBMUO;0;2016-07-05T06:33:24-04:00;8;8: Some butchers are packers;packers,tutors,butchers;0;Aq,Iq,Oq,Eq;Premise 1: Some tutors are packers;Premise 2: No butchers are tutors;34;IE2;1091;Oac;152;EMBMUO
NVC;NVC;default;BABSBC;0;2016-07-05T06:33:37-04:00;-1;Space: No conclusion is possible;engineers,fencers,campers;4;Iq,Oq,Aq,Eq;Premise 1: Some engineers are fencers;Premise 2: No campers are fencers;36;IE3;12363;Oac;148;BABSBC
AC;I;images;EMBMUO;0;2016-07-05T06:33:28-04:00;2;2: Some boxers are opticians;boxers,actuaries,opticians;0;Aq,Iq,Oq,Eq;Premise 1: No boxers are actuaries;Premise 2: No opticians are actuaries;35;EE3;2762;NVC;152;EMBMUO
AC;I;images;EMBMUO;0;2016-07-05T06:33:31-04:00;2;2: Some artists are planners;artists,surfers,planners;0;Aq,Iq,Oq,Eq;Premise 1: All artists are surfers;Premise 2: All planners are surfers;36;AA3;1107;NVC;152;EMBMUO
AC;I;calculations;TPWJEW;0;2016-07-05T06:33:28-04:00;2;2: Some jugglers are investors;jugglers,barbers,investors;0;Aq,Iq,Oq,Eq;Premise 1: Some jugglers are not barbers;Premise 2: Some investors are not barbers;24;OO3;31674;NVC;136;TPWJEW
NVC;NVC;default;BABSBC;0;2016-07-05T06:33:42-04:00;-1;Space: No conclusion is possible;singers,tailors,pilots;4;Iq,Oq,Aq,Eq;Premise 1: All singers are tailors;Premise 2: No pilots are tailors;37;AE3;3876;Eac,Eca,Oac,Oca;148;BABSBC
CA;I;images;EMBMUO;0;2016-07-05T06:33:34-04:00;8;8: Some brewers are porters;porters,judges,brewers;0;Aq,Iq,Oq,Eq;Premise 1: Some judges are not porters;Premise 2: Some judges are not brewers;37;OO4;1055;NVC;152;EMBMUO
AC;I;calculations;XAFJAH;0;2016-07-05T05:33:34-05:00;2;2: Some lifeguards are dentists;lifeguards,plumbers,dentists;6;Oq,Iq,Eq,Aq;Premise 1: Some plumbers are lifeguards;Premise 2: All dentists are plumbers;37;IA2;22468;NVC;142;XAFJAH
AC;A;calculations;QKAHZX;0;2016-07-05T06:33:39-04:00;3;3: All riders are counselors;riders,joggers,counselors;7;Oq,Iq,Aq,Eq;Premise 1: All riders are joggers;Premise 2: All counselors are joggers;39;AA3;13200;NVC;143;QKAHZX
CA;I;images;FMZJTZ;0;2016-07-05T15:33:39+05:00;7;7: Some writers are hikers;hikers,writers,drivers;4;Iq,Oq,Aq,Eq;Premise 1: Some hikers are writers;NA;2;I_1;18908;NVC;156;FMZJTZ
AC;E;images;XRURAU;0;2016-07-05T05:33:46-05:00;1;1: No boxers are typists;boxers,dancers,typists;3;Eq,Oq,Iq,Aq;Premise 1: No boxers are dancers;Premise 2: Some typists are dancers;35;EI3;18766;Oca;155;XRURAU
NVC;NVC;default;BABSBC;1;2016-07-05T06:33:53-04:00;-1;Space: No conclusion is possible;waiters,poets,cashiers;4;Iq,Oq,Aq,Eq;Premise 1: Some poets are not waiters;Premise 2: Some poets are not cashiers;38;OO4;8422;NVC;148;BABSBC
AC;I;images;EMBMUO;0;2016-07-05T06:33:44-04:00;2;2: Some divers are carpenters;divers,linguists,carpenters;0;Aq,Iq,Oq,Eq;Premise 1: Some divers are not linguists;Premise 2: Some carpenters are linguists;38;OI3;8487;NVC;152;EMBMUO
AC;E;calculations;QKAHZX;1;2016-07-05T06:33:48-04:00;4;4: No opticians are boxers;opticians,actuaries,boxers;7;Oq,Iq,Aq,Eq;Premise 1: All opticians are actuaries;Premise 2: No boxers are actuaries;40;AE3;7168;Eac,Eca,Oac,Oca;143;QKAHZX
AC;O;images;XRURAU;0;2016-07-05T05:33:52-05:00;2;2: Some teachers are not bankers;teachers,golfers,bankers;3;Eq,Oq,Iq,Aq;Premise 1: All teachers are golfers;Premise 2: Some bankers are not golfers;36;AO3;4277;Oca;155;XRURAU
CA;I;images;EMBMUO;0;2016-07-05T06:33:49-04:00;8;8: Some auditors are cleaners;cleaners,painters,auditors;0;Aq,Iq,Oq,Eq;Premise 1: Some cleaners are painters;Premise 2: No auditors are painters;39;IE3;2458;Oac;152;EMBMUO
AC;O;calculations;XAFJAH;0;2016-07-05T05:33:48-05:00;1;1: Some mayors are not cooks;mayors,swimmers,cooks;6;Oq,Iq,Eq,Aq;Premise 1: All mayors are swimmers;Premise 2: Some swimmers are not cooks;38;AO1;12742;NVC;142;XAFJAH
AC;I;images;EMBMUO;0;2016-07-05T06:33:55-04:00;2;2: Some counselors are joggers;counselors,riders,joggers;0;Aq,Iq,Oq,Eq;Premise 1: Some riders are not counselors;Premise 2: Some joggers are riders;40;OI2;3829;NVC;152;EMBMUO
NVC;NVC;images;XRURAU;1;2016-07-05T05:33:59-05:00;-1;Space: No conclusion is possible;tutors,butchers,packers;3;Eq,Oq,Iq,Aq;Premise 1: Some butchers are tutors;Premise 2: Some butchers are not packers;37;IO4;5520;NVC;155;XRURAU
AC;A;calculations;BMEPPF;0;2016-07-05T06:33:58-04:00;3;3: All assistants are scholars;assistants,scholars,farmers;4;Iq,Oq,Aq,Eq;Premise 1: All assistants are scholars;NA;0;A_1;6393;NVC;164;BMEPPF
NVC;NVC;images;VPVQXK;1;2016-07-05T06:33:57-04:00;-1;Space: No conclusion is possible;athletes,lawyers,hunters;6;Oq,Iq,Eq,Aq;Premise 1: All lawyers are athletes;Premise 2: Some hunters are not lawyers;4;AO2;88768;NVC;158;VPVQXK
CA;O;images;EMBMUO;0;2016-07-05T06:33:58-04:00;9;9: Some farmers are not scholars;scholars,assistants,farmers;0;Aq,Iq,Oq,Eq;Premise 1: Some scholars are assistants;Premise 2: Some farmers are not assistants;41;IO3;1250;NVC;152;EMBMUO
CA;E;calculations;QKAHZX;0;2016-07-05T06:34:02-04:00;0;0: No students are buyers;buyers,cyclists,students;7;Oq,Iq,Aq,Eq;Premise 1: All cyclists are buyers;Premise 2: No cyclists are students;41;AE4;12443;Oac;143;QKAHZX
CA;I;images;EMBMUO;0;2016-07-05T06:34:01-04:00;8;8: Some mayors are swimmers;swimmers,cooks,mayors;0;Aq,Iq,Oq,Eq;Premise 1: Some cooks are swimmers;Premise 2: Some cooks are mayors;42;II4;1679;NVC;152;EMBMUO
NVC;NVC;images;XRURAU;1;2016-07-05T05:34:06-05:00;-1;Space: No conclusion is possible;students,cyclists,buyers;3;Eq,Oq,Iq,Aq;Premise 1: Some students are not cyclists;Premise 2: Some cyclists are not buyers;38;OO1;4805;NVC;155;XRURAU
AC;O;calculations;XAFJAH;0;2016-07-05T05:34:01-05:00;1;1: Some planners are not artists;planners,surfers,artists;6;Oq,Iq,Eq,Aq;Premise 1: Some surfers are not planners;Premise 2: Some surfers are artists;39;OI4;10553;NVC;142;XAFJAH
AC;E;calculations;BMEPPF;0;2016-07-05T06:34:05-04:00;4;4: No climbers are doctors;climbers,doctors,tellers;4;Iq,Oq,Aq,Eq;Premise 1: No climbers are doctors;NA;1;E_1;4760;NVC;164;BMEPPF
CA;O;images;FMZJTZ;0;2016-07-05T15:34:05+05:00;8;8: Some buyers are not students;students,buyers,cyclists;4;Iq,Oq,Aq,Eq;Premise 1: Some students are not buyers;NA;3;O_1;23671;NVC;156;FMZJTZ
AC;I;images;EMBMUO;0;2016-07-05T06:34:04-04:00;2;2: Some designers are architects;designers,trainers,architects;0;Aq,Iq,Oq,Eq;Premise 1: Some designers are not trainers;Premise 2: No architects are trainers;43;OE3;1146;NVC;152;EMBMUO
AC;I;images;EMBMUO;0;2016-07-05T06:34:08-04:00;2;2: Some drillers are nurses;drillers,actors,nurses;0;Aq,Iq,Oq,Eq;Premise 1: Some actors are not drillers;Premise 2: Some nurses are not actors;44;OO2;2468;NVC;152;EMBMUO
AC;I;images;XRURAU;0;2016-07-05T05:34:13-05:00;3;3: Some cooks are mayors;cooks,swimmers,mayors;3;Eq,Oq,Iq,Aq;Premise 1: All cooks are swimmers;Premise 2: Some swimmers are mayors;39;AI1;4947;NVC;155;XRURAU
AC;O;images;WPNNCK;1;2016-07-05T06:34:10-04:00;1;1: Some architects are not designers;architects,trainers,designers;7;Oq,Iq,Aq,Eq;Premise 1: Some architects are not trainers;Premise 2: All designers are trainers;4;OA3;57075;Oac;159;WPNNCK
AC;O;calculations;BMEPPF;0;2016-07-05T06:34:11-04:00;2;2: Some actuaries are not boxers;actuaries,boxers,opticians;4;Iq,Oq,Aq,Eq;Premise 1: Some actuaries are boxers;NA;2;I_1;5100;NVC;164;BMEPPF
AC;E;calculations;TPWJEW;0;2016-07-05T06:34:08-04:00;4;4: No campers are engineers;campers,fencers,engineers;0;Aq,Iq,Oq,Eq;Premise 1: No fencers are campers;Premise 2: No engineers are fencers;25;EE2;38536;NVC;136;TPWJEW
NVC;NVC;default;BABSBC;1;2016-07-05T06:34:21-04:00;-1;Space: No conclusion is possible;cleaners,auditors,painters;4;Iq,Oq,Aq,Eq;Premise 1: All auditors are cleaners;Premise 2: Some painters are not auditors;39;AO2;26626;NVC;148;BABSBC
AC;I;calculations;BMEPPF;0;2016-07-05T06:34:17-04:00;1;1: Some lawyers are hunters;lawyers,hunters,athletes;4;Iq,Oq,Aq,Eq;Premise 1: Some lawyers are not hunters;NA;3;O_1;3721;NVC;164;BMEPPF
NVC;NVC;images;XRURAU;1;2016-07-05T05:34:20-05:00;-1;Space: No conclusion is possible;hikers,drivers,writers;3;Eq,Oq,Iq,Aq;Premise 1: Some hikers are drivers;Premise 2: Some writers are drivers;40;II3;5893;NVC;155;XRURAU
CA;O;calculations;QKAHZX;0;2016-07-05T06:34:21-04:00;7;7: Some painters are not actors;actors,workers,painters;7;Oq,Iq,Aq,Eq;Premise 1: No workers are actors;Premise 2: Some painters are not workers;42;EO2;16201;NVC;143;QKAHZX
AC;O;images;WPNNCK;0;2016-07-05T06:34:22-04:00;1;1: Some scientists are not chefs;scientists,runners,chefs;7;Oq,Iq,Aq,Eq;Premise 1: Some scientists are not runners;Premise 2: All runners are chefs;5;OA1;10949;NVC;159;WPNNCK
AC;I;images;EMBMUO;0;2016-07-05T06:34:22-04:00;2;2: Some novelists are analysts;novelists,travelers,analysts;0;Aq,Iq,Oq,Eq;Premise 1: All novelists are travelers;Premise 2: Some analysts are not travelers;45;AO3;4773;Oca;152;EMBMUO
NVC;NVC;images;XRURAU;1;2016-07-05T05:34:29-05:00;-1;Space: No conclusion is possible;riders,counselors,joggers;3;Eq,Oq,Iq,Aq;Premise 1: Some counselors are riders;Premise 2: Some joggers are counselors;41;II2;6658;NVC;155;XRURAU
CA;I;images;EMBMUO;0;2016-07-05T06:34:26-04:00;8;8: Some pilots are singers;singers,tailors,pilots;0;Aq,Iq,Oq,Eq;Premise 1: No tailors are singers;Premise 2: Some pilots are tailors;46;EI2;2123;Oca;152;EMBMUO
CA;E;calculations;PWHNDI;1;2016-07-05T06:34:25-04:00;0;0: No typists are boxers;boxers,dancers,typists;4;Iq,Oq,Aq,Eq;Premise 1: All boxers are dancers;Premise 2: No dancers are typists;13;AE1;89680;Eac,Eca,Oac,Oca;140;PWHNDI
CA;I;images;EMBMUO;0;2016-07-05T06:34:29-04:00;8;8: Some workers are actors;actors,painters,workers;0;Aq,Iq,Oq,Eq;Premise 1: All painters are actors;Premise 2: Some workers are not painters;47;AO2;1694;NVC;152;EMBMUO
NVC;NVC;images;XRURAU;1;2016-07-05T05:34:34-05:00;-1;Space: No conclusion is possible;trainers,architects,designers;3;Eq,Oq,Iq,Aq;Premise 1: Some trainers are architects;Premise 2: Some architects are not designers;42;IO1;3791;NVC;155;XRURAU
AC;I;images;EMBMUO;0;2016-07-05T06:34:32-04:00;2;2: Some lifeguards are plumbers;lifeguards,dentists,plumbers;0;Aq,Iq,Oq,Eq;Premise 1: Some dentists are lifeguards;Premise 2: Some dentists are not plumbers;48;IO4;1065;NVC;152;EMBMUO
AC;O;calculations;XAFJAH;0;2016-07-05T05:34:31-05:00;1;1: Some sculptors are not gamblers;sculptors,bakers,gamblers;6;Oq,Iq,Eq,Aq;Premise 1: Some bakers are not sculptors;Premise 2: All bakers are gamblers;40;OA4;28439;Oca;142;XAFJAH
CA;I;images;EMBMUO;1;2016-07-05T06:34:35-04:00;8;8: Some bakers are gamblers;gamblers,sculptors,bakers;0;Aq,Iq,Oq,Eq;Premise 1: All sculptors are gamblers;Premise 2: All sculptors are bakers;49;AA4;1036;Iac,Ica;152;EMBMUO
AC;O;calculations;BMEPPF;1;2016-07-05T06:34:36-04:00;2;2: Some architects are not trainers;architects,designers,trainers;4;Iq,Oq,Aq,Eq;Premise 1: No architects are designers;Premise 2: All trainers are designers;0;EA3;6396;Eac,Eca,Oac,Oca;164;BMEPPF
AC;I;calculations;QKAHZX;0;2016-07-05T06:34:39-04:00;2;2: Some planners are artists;planners,surfers,artists;7;Oq,Iq,Aq,Eq;Premise 1: Some planners are surfers;Premise 2: Some surfers are not artists;43;IO1;16479;NVC;143;QKAHZX
CA;E;images;XRURAU;0;2016-07-05T05:34:42-05:00;7;7: No dentists are plumbers;plumbers,lifeguards,dentists;3;Eq,Oq,Iq,Aq;Premise 1: Some lifeguards are not plumbers;Premise 2: No dentists are lifeguards;43;OE2;6671;NVC;155;XRURAU
CA;I;images;EMBMUO;0;2016-07-05T06:34:39-04:00;8;8: Some chemists are sailors;sailors,potters,chemists;0;Aq,Iq,Oq,Eq;Premise 1: Some sailors are potters;Premise 2: Some potters are not chemists;50;IO1;2621;NVC;152;EMBMUO
NVC;NVC;images;WPNNCK;0;2016-07-05T06:34:43-04:00;-1;Space: No conclusion is possible;packers,butchers,tutors;7;Oq,Iq,Aq,Eq;Premise 1: All butchers are packers;Premise 2: All butchers are tutors;6;AA4;19050;Iac,Ica;159;WPNNCK
AC;I;images;EMBMUO;0;2016-07-05T06:34:43-04:00;2;2: Some managers are clerks;managers,models,clerks;0;Aq,Iq,Oq,Eq;Premise 1: Some managers are not models;Premise 2: Some models are not clerks;51;OO1;2370;NVC;152;EMBMUO
CA;I;calculations;BMEPPF;1;2016-07-05T06:34:44-04:00;7;7: Some runners are scientists;scientists,chefs,runners;4;Iq,Oq,Aq,Eq;Premise 1: All scientists are chefs;Premise 2: All chefs are runners;1;AA1;6701;Aac,Iac,Ica;164;BMEPPF
AC;A;default;BABSBC;0;2016-07-05T06:34:53-04:00;3;3: All carpenters are divers;carpenters,linguists,divers;4;Iq,Oq,Aq,Eq;Premise 1: No carpenters are linguists;Premise 2: All linguists are divers;40;EA1;29658;Oca;148;BABSBC
CA;I;images;EMBMUO;0;2016-07-05T06:34:47-04:00;8;8: Some drivers are hikers;hikers,writers,drivers;0;Aq,Iq,Oq,Eq;Premise 1: No writers are hikers;Premise 2: All writers are drivers;52;EA4;1832;Oca;152;EMBMUO
AC;I;images;EMBMUO;0;2016-07-05T06:34:50-04:00;2;2: Some poets are miners;poets,skaters,miners;0;Aq,Iq,Oq,Eq;Premise 1: All skaters are poets;Premise 2: Some skaters are not miners;53;AO4;1986;Oac;152;EMBMUO
CA;E;calculations;XAFJAH;1;2016-07-05T05:34:49-05:00;9;9: No scholars are assistants;assistants,farmers,scholars;6;Oq,Iq,Eq,Aq;Premise 1: No farmers are assistants;Premise 2: All scholars are farmers;41;EA2;16688;Eac,Eca,Oac,Oca;142;XAFJAH
CA;I;calculations;QKAHZX;0;2016-07-05T06:34:54-04:00;8;8: Some scientists are chefs;chefs,runners,scientists;7;Oq,Iq,Aq,Eq;Premise 1: All runners are chefs;Premise 2: Some runners are not scientists;44;AO4;12850;Oac;143;QKAHZX
CA;I;images;EMBMUO;0;2016-07-05T06:34:54-04:00;8;8: Some teachers are golfers;golfers,bankers,teachers;0;Aq,Iq,Oq,Eq;Premise 1: Some bankers are not golfers;Premise 2: All teachers are bankers;54;OA2;1495;NVC;152;EMBMUO
AC;E;images;XRURAU;0;2016-07-05T05:34:58-05:00;1;1: No sculptors are gamblers;sculptors,bakers,gamblers;3;Eq,Oq,Iq,Aq;Premise 1: No sculptors are bakers;Premise 2: Some bakers are not gamblers;44;EO1;13464;NVC;155;XRURAU
AC;I;images;EMBMUO;0;2016-07-05T06:34:59-04:00;2;2: Some cashiers are waiters;cashiers,poets,waiters;0;Aq,Iq,Oq,Eq;Premise 1: Some cashiers are poets;Premise 2: All waiters are poets;55;IA3;2040;NVC;152;EMBMUO
NVC;NVC;default;BABSBC;1;2016-07-05T06:35:08-04:00;-1;Space: No conclusion is possible;scientists,chefs,runners;4;Iq,Oq,Aq,Eq;Premise 1: Some chefs are scientists;Premise 2: Some runners are not chefs;41;IO2;13518;NVC;148;BABSBC
AC;I;calculations;BMEPPF;1;2016-07-05T06:35:06-04:00;1;1: Some athletes are lawyers;athletes,hunters,lawyers;4;Iq,Oq,Aq,Eq;Premise 1: All hunters are athletes;Premise 2: Some lawyers are hunters;2;AI2;19907;Iac,Ica;164;BMEPPF
NVC;NVC;images;VPVQXK;1;2016-07-05T06:35:05-04:00;-1;Space: No conclusion is possible;golfers,teachers,bankers;6;Oq,Iq,Eq,Aq;Premise 1: Some golfers are not teachers;Premise 2: Some bankers are teachers;5;OI3;65883;NVC;158;VPVQXK
AC;I;images;EMBMUO;0;2016-07-05T06:35:07-04:00;2;2: Some investors are barbers;investors,jugglers,barbers;0;Aq,Iq,Oq,Eq;Premise 1: Some investors are not jugglers;Premise 2: All barbers are jugglers;56;OA3;6158;Oac;152;EMBMUO
CA;I;images;EMBMUO;0;2016-07-05T06:35:11-04:00;8;8: Some athletes are hunters;hunters,lawyers,athletes;0;Aq,Iq,Oq,Eq;Premise 1: All hunters are lawyers;Premise 2: No athletes are lawyers;57;AE3;1616;Eac,Eca,Oac,Oca;152;EMBMUO
CA;E;calculations;XAFJAH;0;2016-07-05T05:35:09-05:00;9;9: No lawyers are athletes;athletes,hunters,lawyers;6;Oq,Iq,Eq,Aq;Premise 1: No hunters are athletes;Premise 2: Some hunters are not lawyers;42;EO4;17537;NVC;142;XAFJAH
CA;E;calculations;PWHNDI;0;2016-07-05T06:35:11-04:00;0;0: No surfers are planners;planners,artists,surfers;4;Iq,Oq,Aq,Eq;Premise 1: Some planners are not artists;Premise 2: No artists are surfers;14;OE1;43911;NVC;140;PWHNDI
CA;I;images;EMBMUO;0;2016-07-05T06:35:13-04:00;8;8: Some fencers are campers;campers,engineers,fencers;0;Aq,Iq,Oq,Eq;Premise 1: Some campers are not engineers;Premise 2: Some engineers are fencers;58;OI1;1217;NVC;152;EMBMUO
AC;O;calculations;BMEPPF;0;2016-07-05T06:35:17-04:00;2;2: Some dancers are not boxers;dancers,typists,boxers;4;Iq,Oq,Aq,Eq;Premise 1: Some typists are dancers;Premise 2: All typists are boxers;3;IA4;9206;Iac,Ica;164;BMEPPF
AC;O;images;VPVQXK;1;2016-07-05T06:35:18-04:00;1;1: Some cleaners are not painters;cleaners,auditors,painters;6;Oq,Iq,Eq,Aq;Premise 1: All cleaners are auditors;Premise 2: No auditors are painters;6;AE1;10753;Eac,Eca,Oac,Oca;158;VPVQXK
CA;O;images;WPNNCK;0;2016-07-05T06:35:20-04:00;7;7: Some sailors are not chemists;chemists,potters,sailors;7;Oq,Iq,Aq,Eq;Premise 1: Some potters are chemists;Premise 2: Some sailors are not potters;7;IO2;34612;NVC;159;WPNNCK
AC;I;images;EMBMUO;0;2016-07-05T06:35:19-04:00;2;2: Some agents are brokers;agents,secretaries,brokers;0;Aq,Iq,Oq,Eq;Premise 1: Some agents are secretaries;Premise 2: Some brokers are secretaries;59;II3;3844;NVC;152;EMBMUO
NVC;NVC;default;BABSBC;0;2016-07-05T06:35:28-04:00;-1;Space: No conclusion is possible;analysts,novelists,travelers;4;Iq,Oq,Aq,Eq;Premise 1: No analysts are novelists;Premise 2: Some novelists are travelers;42;EI1;18300;Oca;148;BABSBC
CA;I;calculations;BMEPPF;0;2016-07-05T06:35:22-04:00;7;7: Some surfers are planners;planners,artists,surfers;4;Iq,Oq,Aq,Eq;Premise 1: Some planners are not artists;Premise 2: Some surfers are not artists;4;OO3;2779;NVC;164;BMEPPF
AC;I;calculations;XAFJAH;0;2016-07-05T05:35:20-05:00;2;2: Some porters are judges;porters,brewers,judges;6;Oq,Iq,Eq,Aq;Premise 1: No brewers are porters;Premise 2: No brewers are judges;43;EE4;9846;NVC;142;XAFJAH
CA;I;images;EMBMUO;1;2016-07-05T06:35:23-04:00;8;8: Some buyers are cyclists;cyclists,students,buyers;0;Aq,Iq,Oq,Eq;Premise 1: All students are cyclists;Premise 2: All buyers are students;60;AA2;1865;Aca,Iac,Ica;152;EMBMUO
AC;I;calculations;TPWJEW;0;2016-07-05T06:35:19-04:00;2;2: Some surfers are planners;surfers,artists,planners;0;Aq,Iq,Oq,Eq;Premise 1: Some artists are surfers;Premise 2: Some artists are not planners;26;IO4;69728;NVC;136;TPWJEW
AC;O;calculations;BMEPPF;0;2016-07-05T06:35:27-04:00;2;2: Some bakers are not sculptors;bakers,gamblers,sculptors;4;Iq,Oq,Aq,Eq;Premise 1: Some gamblers are bakers;Premise 2: Some sculptors are not gamblers;5;IO2;3755;NVC;164;BMEPPF
AC;I;images;EMBMUO;0;2016-07-05T06:35:26-04:00;2;2: Some scientists are runners;scientists,chefs,runners;0;Aq,Iq,Oq,Eq;Premise 1: Some chefs are not scientists;Premise 2: No runners are chefs;61;OE2;1810;NVC;152;EMBMUO
NVC;NVC;images;WPNNCK;0;2016-07-05T06:35:30-04:00;-1;Space: No conclusion is possible;bakers,gamblers,sculptors;7;Oq,Iq,Aq,Eq;Premise 1: All gamblers are bakers;Premise 2: Some gamblers are sculptors;8;AI4;9150;Iac,Ica;159;WPNNCK
AC;I;images;EMBMUO;0;2016-07-05T06:35:30-04:00;2;2: Some doctors are climbers;doctors,tellers,climbers;0;Aq,Iq,Oq,Eq;Premise 1: Some tellers are not doctors;Premise 2: No tellers are climbers;62;OE4;1707;NVC;152;EMBMUO
CA;O;calculations;BMEPPF;0;2016-07-05T06:35:34-04:00;8;8: Some climbers are not therapists;therapists,skaters,climbers;4;Iq,Oq,Aq,Eq;Premise 1: Some therapists are skaters;Premise 2: No climbers are skaters;6;IE3;5100;Oac;164;BMEPPF
NVC;NVC;default;BABSBC;1;2016-07-05T06:35:42-04:00;-1;Space: No conclusion is possible;dentists,lifeguards,plumbers;4;Iq,Oq,Aq,Eq;Premise 1: Some dentists are not lifeguards;Premise 2: Some lifeguards are not plumbers;43;OO1;11991;NVC;148;BABSBC
AC;I;calculations;XAFJAH;0;2016-07-05T05:35:33-05:00;2;2: Some clerks are models;clerks,managers,models;6;Oq,Iq,Eq,Aq;Premise 1: Some clerks are managers;Premise 2: Some managers are models;44;II1;10513;NVC;142;XAFJAH
AC;I;calculations;BMEPPF;0;2016-07-05T06:35:38-04:00;1;1: Some jugglers are barbers;jugglers,investors,barbers;4;Iq,Oq,Aq,Eq;Premise 1: Some jugglers are not investors;Premise 2: Some investors are barbers;7;OI1;2540;NVC;164;BMEPPF
AC;I;images;EMBMUO;0;2016-07-05T06:35:39-04:00;2;2: Some boxers are typists;boxers,dancers,typists;0;Aq,Iq,Oq,Eq;Premise 1: Some boxers are dancers;Premise 2: No dancers are typists;63;IE1;7268;Oac;152;EMBMUO
AC;O;calculations;BMEPPF;0;2016-07-05T06:35:41-04:00;2;2: Some linguists are not carpenters;linguists,divers,carpenters;4;Iq,Oq,Aq,Eq;Premise 1: No linguists are divers;Premise 2: Some carpenters are not divers;8;EO3;1811;NVC;164;BMEPPF
CA;I;calculations;BMEPPF;0;2016-07-05T06:35:46-04:00;7;7: Some drivers are writers;writers,hikers,drivers;4;Iq,Oq,Aq,Eq;Premise 1: All writers are hikers;Premise 2: Some drivers are hikers;9;AI3;2485;NVC;164;BMEPPF
NVC;NVC;default;BABSBC;1;2016-07-05T06:35:54-04:00;-1;Space: No conclusion is possible;judges,porters,brewers;4;Iq,Oq,Aq,Eq;Premise 1: Some judges are not porters;Premise 2: Some brewers are not porters;44;OO3;10113;NVC;148;BABSBC
AC;O;calculations;BMEPPF;1;2016-07-05T06:35:49-04:00;2;2: Some cashiers are not waiters;cashiers,poets,waiters;4;Iq,Oq,Aq,Eq;Premise 1: Some poets are cashiers;Premise 2: No poets are waiters;10;IE4;1933;Oac;164;BMEPPF
AC;I;calculations;TPWJEW;0;2016-07-05T06:35:46-04:00;2;2: Some travelers are analysts;travelers,novelists,analysts;0;Aq,Iq,Oq,Eq;Premise 1: Some travelers are not novelists;Premise 2: Some novelists are not analysts;27;OO1;25181;NVC;136;TPWJEW
AC;I;calculations;BMEPPF;0;2016-07-05T06:35:54-04:00;1;1: Some cleaners are painters;cleaners,auditors,painters;4;Iq,Oq,Aq,Eq;Premise 1: Some auditors are cleaners;Premise 2: All painters are auditors;11;IA2;3528;NVC;164;BMEPPF
AC;O;calculations;BMEPPF;0;2016-07-05T06:35:58-04:00;2;2: Some buyers are not cyclists;buyers,students,cyclists;4;Iq,Oq,Aq,Eq;Premise 1: All buyers are students;Premise 2: Some cyclists are not students;12;AO3;2087;Oca;164;BMEPPF
AC;O;calculations;XAFJAH;0;2016-07-05T05:35:55-05:00;1;1: Some singers are not tailors;singers,pilots,tailors;6;Oq,Iq,Eq,Aq;Premise 1: All singers are pilots;Premise 2: Some tailors are not pilots;45;AO3;20581;Oca;142;XAFJAH
